Economy,Indicator,Year,Value,Indicator_encoded,Economy_encoded,Indicator_group,Indicator_group_code
Lithuania,Using copy and paste tools within a document,2014,64.6335,57,54,Skills,2
Lithuania,Using basic arithmetic formula in a spreadsheet,2014,49.3228,56,54,Skills,2
Lithuania,Creating electronic presentations with presentation software,2014,34.1961,15,54,Skills,2
Lithuania,Writing a computer program using a programming language,2014,8.66619,60,54,Skills,2
Lithuania,Digital content creation,2014,35.2618,17,54,Skills,2
Luxembourg,Using copy and paste tools within a document,2014,83.0765,57,55,Skills,2
Luxembourg,Using basic arithmetic formula in a spreadsheet,2014,62.5654,56,55,Skills,2
Luxembourg,Creating electronic presentations with presentation software,2014,51.3396,15,55,Skills,2
Luxembourg,Writing a computer program using a programming language,2014,15.1437,60,55,Skills,2
Malta,Using copy and paste tools within a document,2014,59.9766,57,59,Skills,2
Malta,Using basic arithmetic formula in a spreadsheet,2014,43.1735,56,59,Skills,2
Malta,Creating electronic presentations with presentation software,2014,30.4327,15,59,Skills,2
Malta,Writing a computer program using a programming language,2014,9.7407,60,59,Skills,2
Malta,Digital content creation,2014,24.1423,17,59,Skills,2
Morocco,Using copy and paste tools within a document,2014,34.2087,57,65,Skills,2
Morocco,Using basic arithmetic formula in a spreadsheet,2014,15.8174,56,65,Skills,2
Morocco,Creating electronic presentations with presentation software,2014,15.7304,15,65,Skills,2
Morocco,Writing a computer program using a programming language,2014,12.6793,60,65,Skills,2
Morocco,"Using software run over the Internet for editing text documents, spreadsheets or presentations",2014,5.79101,58,65,Skills,2
Morocco,Digital content creation,2014,6.58586,17,65,Skills,2
Netherlands,Using copy and paste tools within a document,2014,70.8333,57,66,Skills,2
Netherlands,Using basic arithmetic formula in a spreadsheet,2014,43.0556,56,66,Skills,2
Netherlands,Creating electronic presentations with presentation software,2014,48.6111,15,66,Skills,2
Netherlands,Writing a computer program using a programming language,2014,9.02778,60,66,Skills,2
North Macedonia,Digital content creation,2014,13.5787,17,67,Skills,2
Norway,Using copy and paste tools within a document,2014,81.7684,57,68,Skills,2
Norway,Using basic arithmetic formula in a spreadsheet,2014,64.8215,56,68,Skills,2
Norway,Creating electronic presentations with presentation software,2014,54.2637,15,68,Skills,2
Norway,Writing a computer program using a programming language,2014,18.2181,60,68,Skills,2
Norway,Digital content creation,2014,29.8709,17,68,Skills,2
Poland,Using basic arithmetic formula in a spreadsheet,2014,36.0542,56,72,Skills,2
Poland,Creating electronic presentations with presentation software,2014,21.6192,15,72,Skills,2
Poland,Writing a computer program using a programming language,2014,5.56873,60,72,Skills,2
Poland,Digital content creation,2014,12.4675,17,72,Skills,2
Portugal,Using copy and paste tools within a document,2014,58.3571,57,73,Skills,2
Portugal,Using basic arithmetic formula in a spreadsheet,2014,46.5229,56,73,Skills,2
Portugal,Creating electronic presentations with presentation software,2014,40.3066,15,73,Skills,2
Portugal,Writing a computer program using a programming language,2014,7.86493,60,73,Skills,2
Portugal,Digital content creation,2014,37.56,17,73,Skills,2
Romania,Using copy and paste tools within a document,2014,26.5985,57,76,Skills,2
Romania,Using basic arithmetic formula in a spreadsheet,2014,16.2483,56,76,Skills,2
Romania,Creating electronic presentations with presentation software,2014,4.94339,15,76,Skills,2
Romania,Writing a computer program using a programming language,2014,3.9693,60,76,Skills,2
Russian Federation,Using basic arithmetic formula in a spreadsheet,2014,19.5952,56,77,Skills,2
Russian Federation,Creating electronic presentations with presentation software,2014,6.53715,15,77,Skills,2
Russian Federation,Writing a computer program using a programming language,2014,1.10289,60,77,Skills,2
Russian Federation,Digital content creation,2014,16.9242,17,77,Skills,2
Serbia,Using copy and paste tools within a document,2014,44.1524,57,79,Skills,2
Serbia,Using basic arithmetic formula in a spreadsheet,2014,28.0552,56,79,Skills,2
Serbia,Creating electronic presentations with presentation software,2014,15.3861,15,79,Skills,2
Serbia,Writing a computer program using a programming language,2014,3.71229,60,79,Skills,2
Singapore,Using copy and paste tools within a document,2014,37.714,57,80,Skills,2
Singapore,Using basic arithmetic formula in a spreadsheet,2014,23.5761,56,80,Skills,2
Singapore,Creating electronic presentations with presentation software,2014,22.7675,15,80,Skills,2
Singapore,Writing a computer program using a programming language,2014,4.27116,60,80,Skills,2
Singapore,Digital content creation,2014,5.86771,17,80,Skills,2
Slovakia,Using copy and paste tools within a document,2014,63.2449,57,81,Skills,2
Slovakia,Using basic arithmetic formula in a spreadsheet,2014,48.8503,56,81,Skills,2
Slovakia,Creating electronic presentations with presentation software,2014,24.5822,15,81,Skills,2
Slovakia,Writing a computer program using a programming language,2014,7.1435,60,81,Skills,2
Slovakia,Digital content creation,2014,17.6963,17,81,Skills,2
Slovenia,Using copy and paste tools within a document,2014,59.5363,57,82,Skills,2
Slovenia,Using basic arithmetic formula in a spreadsheet,2014,48.1924,56,82,Skills,2
Slovenia,Creating electronic presentations with presentation software,2014,36.4733,15,82,Skills,2
Slovenia,Writing a computer program using a programming language,2014,7.9432,60,82,Skills,2
Slovenia,Digital content creation,2014,27.053,17,82,Skills,2
Spain,Using copy and paste tools within a document,2014,63.0257,57,83,Skills,2
Spain,Using basic arithmetic formula in a spreadsheet,2014,42.4197,56,83,Skills,2
Spain,Creating electronic presentations with presentation software,2014,39.6015,15,83,Skills,2
Spain,Writing a computer program using a programming language,2014,14.2246,60,83,Skills,2
Spain,Digital content creation,2014,35.1197,17,83,Skills,2
State of Palestine,Using copy and paste tools within a document,2014,29.4681,57,84,Skills,2
State of Palestine,Using basic arithmetic formula in a spreadsheet,2014,16.9442,56,84,Skills,2
State of Palestine,Creating electronic presentations with presentation software,2014,25.0479,15,84,Skills,2
Sweden,Using copy and paste tools within a document,2014,76.6392,57,86,Skills,2
Sweden,Using basic arithmetic formula in a spreadsheet,2014,56.6288,56,86,Skills,2
Sweden,Creating electronic presentations with presentation software,2014,56.2653,15,86,Skills,2
Sweden,Writing a computer program using a programming language,2014,22.4921,60,86,Skills,2
Sweden,Digital content creation,2014,42.5033,17,86,Skills,2
Switzerland,Writing a computer program using a programming language,2014,6.88935,60,87,Skills,2
Switzerland,"Using software run over the Internet for editing text documents, spreadsheets or presentations",2014,12.8109,58,87,Skills,2
Switzerland,Digital content creation,2014,7.26798,17,87,Skills,2
Thailand,Using copy and paste tools within a document,2014,5.14105,57,89,Skills,2
Thailand,Creating electronic presentations with presentation software,2014,27.5942,15,89,Skills,2
Türkiye,Using copy and paste tools within a document,2014,36.2108,57,90,Skills,2
Türkiye,Creating electronic presentations with presentation software,2014,15.8555,15,90,Skills,2
Türkiye,Writing a computer program using a programming language,2014,3.65488,60,90,Skills,2
United Kingdom,Using copy and paste tools within a document,2014,73.3096,57,93,Skills,2
United Kingdom,Using basic arithmetic formula in a spreadsheet,2014,53.4227,56,93,Skills,2
United Kingdom,Creating electronic presentations with presentation software,2014,44.5152,15,93,Skills,2
United Kingdom,Writing a computer program using a programming language,2014,14.0663,60,93,Skills,2
Bahrain,Do not need the Internet,2014,34.0969,19,5,User Experience,3
Bahrain,Have access to the Internet elsewhere,2014,21.4205,24,5,User Experience,3
Bahrain,Cost of the equipment is too high,2014,20.9839,14,5,User Experience,3
Bahrain,Cost of service is too high,2014,23.6065,13,5,User Experience,3
Bahrain,Privacy or security concerns,2014,1.3128,46,5,User Experience,3
Brazil,Do not need the Internet,2014,56.8202,19,12,User Experience,3
Brazil,Have access to the Internet elsewhere,2014,14.9914,24,12,User Experience,3
Brazil,Cost of the equipment is too high,2014,46.7274,14,12,User Experience,3
Brazil,Cost of service is too high,2014,48.9899,13,12,User Experience,3
Brazil,Privacy or security concerns,2014,12.4033,46,12,User Experience,3
Brazil,Internet service is not available in the area,2014,17.6664,39,12,User Experience,3
Colombia,Do not need the Internet,2014,27.9279,19,19,User Experience,3
Colombia,Have access to the Internet elsewhere,2014,2.12247,24,19,User Experience,3
Colombia,Cost of service is too high,2014,43.6957,13,19,User Experience,3
Colombia,Internet service is not available in the area,2014,2.73254,39,19,User Experience,3
Egypt,Do not need the Internet,2014,2.36571,19,29,User Experience,3
Egypt,Have access to the Internet elsewhere,2014,0.0341515,24,29,User Experience,3
Egypt,Cost of the equipment is too high,2014,3.08391,14,29,User Experience,3
Egypt,Cost of service is too high,2014,2.58724,13,29,User Experience,3
Egypt,Privacy or security concerns,2014,2.10176,46,29,User Experience,3
Egypt,Internet service is not available in the area,2014,92.8503,39,29,User Experience,3
Egypt,Internet service is available but it does not correspond to household needs,2014,0.391291,38,29,User Experience,3
Korea (Rep. of),Do not need the Internet,2014,89.0008,19,50,User Experience,3
Korea (Rep. of),Cost of service is too high,2014,22.9861,13,50,User Experience,3
Korea (Rep. of),Privacy or security concerns,2014,1.34418,46,50,User Experience,3
"Macao, China",Do not need the Internet,2014,32.9966,19,56,User Experience,3
"Macao, China",Cost of the equipment is too high,2014,32.6599,14,56,User Experience,3
"Macao, China",Cost of service is too high,2014,4.7138,13,56,User Experience,3
Mexico,Do not need the Internet,2014,25.7573,19,61,User Experience,3
Mexico,Cost of service is too high,2014,58.0296,13,61,User Experience,3
Morocco,Do not need the Internet,2014,46.2434,19,65,User Experience,3
Morocco,Have access to the Internet elsewhere,2014,17.3304,24,65,User Experience,3
Morocco,Cost of the equipment is too high,2014,46.7403,14,65,User Experience,3
Morocco,Cost of service is too high,2014,35.8969,13,65,User Experience,3
Morocco,Privacy or security concerns,2014,8.27992,46,65,User Experience,3
Morocco,Internet service is not available in the area,2014,3.17329,39,65,User Experience,3
Morocco,Internet service is available but it does not correspond to household needs,2014,3.70861,38,65,User Experience,3
Russian Federation,Do not need the Internet,2014,68.1568,19,77,User Experience,3
Russian Federation,Have access to the Internet elsewhere,2014,7.86291,24,77,User Experience,3
Russian Federation,Cost of the equipment is too high,2014,14.7731,14,77,User Experience,3
Russian Federation,Privacy or security concerns,2014,0.579805,46,77,User Experience,3
Russian Federation,Internet service is not available in the area,2014,7.59545,39,77,User Experience,3
Singapore,Do not need the Internet,2014,44.9755,19,80,User Experience,3
Singapore,Have access to the Internet elsewhere,2014,6.92402,24,80,User Experience,3
Singapore,Cost of the equipment is too high,2014,2.75735,14,80,User Experience,3
Singapore,Cost of service is too high,2014,1.22549,13,80,User Experience,3
Switzerland,Do not need the Internet,2014,82.952,19,87,User Experience,3
Austria,"Finding, downloading, installing and configuring software",2014,37.5445,22,3,Skills,2
Austria,Transferring files between a computer and other devices,2014,65.3781,55,3,Skills,2
Austria,Purchasing or ordering goods or services,2014,43.3834,47,3,Skills,2
Austria,Internet banking,2014,47.9465,37,3,Skills,2
Azerbaijan,Connecting and installing new devices,2014,12.529,11,4,Skills,2
Azerbaijan,"Finding, downloading, installing and configuring software",2014,7.15942,22,4,Skills,2
Azerbaijan,Transferring files between a computer and other devices,2014,3.57971,55,4,Skills,2
Bahrain,Doing an online course,2014,22.3443,20,5,Skills,2
Bahrain,Purchasing or ordering goods or services,2014,21.0452,47,5,Skills,2
Bahrain,Internet banking,2014,16.6283,37,5,Skills,2
Belarus,Purchasing or ordering goods or services,2014,14.1959,47,7,Skills,2
Belarus,Internet banking,2014,10.3467,37,7,Skills,2
Belgium,Transferring files between a computer and other devices,2014,58.8153,55,8,Skills,2
Belgium,Purchasing or ordering goods or services,2014,40.9224,47,8,Skills,2
Belgium,Internet banking,2014,61.2439,37,8,Skills,2
Brazil,Connecting and installing new devices,2014,15.6402,11,12,Skills,2
Brazil,"Finding, downloading, installing and configuring software",2014,18.4583,22,12,Skills,2
Brazil,Transferring files between a computer and other devices,2014,20.624,55,12,Skills,2
Brazil,Doing an online course,2014,6.05125,20,12,Skills,2
Brazil,Purchasing or ordering goods or services,2014,18.8423,47,12,Skills,2
Brazil,Internet banking,2014,13.3938,37,12,Skills,2
Bulgaria,Transferring files between a computer and other devices,2014,32.6854,55,14,Skills,2
Bulgaria,Purchasing or ordering goods or services,2014,10.0288,47,14,Skills,2
Bulgaria,Internet banking,2014,4.7022,37,14,Skills,2
Colombia,Doing an online course,2014,19.2945,20,19,Skills,2
Colombia,Purchasing or ordering goods or services,2014,2.92413,47,19,Skills,2
Colombia,Internet banking,2014,3.37782,37,19,Skills,2
Croatia,Transferring files between a computer and other devices,2014,38.2956,55,21,Skills,2
Croatia,Purchasing or ordering goods or services,2014,21.5866,47,21,Skills,2
Croatia,Internet banking,2014,19.1354,37,21,Skills,2
Cyprus,Transferring files between a computer and other devices,2014,45.8187,55,23,Skills,2
Cyprus,Purchasing or ordering goods or services,2014,23.057,47,23,Skills,2
Cyprus,Internet banking,2014,24.204,37,23,Skills,2
Czech Republic,Transferring files between a computer and other devices,2014,51.7683,55,24,Skills,2
Czech Republic,Purchasing or ordering goods or services,2014,23.6014,47,24,Skills,2
Czech Republic,Internet banking,2014,42.8828,37,24,Skills,2
Denmark,Transferring files between a computer and other devices,2014,71.2595,55,26,Skills,2
Denmark,Purchasing or ordering goods or services,2014,66.4042,47,26,Skills,2
Denmark,Internet banking,2014,84.2813,37,26,Skills,2
Egypt,Connecting and installing new devices,2014,0.945646,11,29,Skills,2
Egypt,"Finding, downloading, installing and configuring software",2014,0.641827,22,29,Skills,2
Egypt,Transferring files between a computer and other devices,2014,2.72868,55,29,Skills,2
Egypt,Doing an online course,2014,0.475228,20,29,Skills,2
Egypt,Purchasing or ordering goods or services,2014,0.484491,47,29,Skills,2
Egypt,Internet banking,2014,0.144653,37,29,Skills,2
El Salvador,Purchasing or ordering goods or services,2014,0.0631153,47,30,Skills,2
El Salvador,Internet banking,2014,0.0197552,37,30,Skills,2
Estonia,"Finding, downloading, installing and configuring software",2014,32.1253,22,31,Skills,2
Estonia,Transferring files between a computer and other devices,2014,54.8619,55,31,Skills,2
Estonia,Internet banking,2014,76.5624,37,31,Skills,2
Finland,Transferring files between a computer and other devices,2014,68.5799,55,32,Skills,2
Finland,Purchasing or ordering goods or services,2014,49.4298,47,32,Skills,2
Finland,Internet banking,2014,80.183,37,32,Skills,2
France,Transferring files between a computer and other devices,2014,67.256,55,33,Skills,2
France,Purchasing or ordering goods or services,2014,48.7539,47,33,Skills,2
France,Internet banking,2014,57.5952,37,33,Skills,2
Germany,Transferring files between a computer and other devices,2014,65.3022,55,35,Skills,2
Germany,Purchasing or ordering goods or services,2014,61.3523,47,35,Skills,2
Germany,Internet banking,2014,48.7628,37,35,Skills,2
Greece,Transferring files between a computer and other devices,2014,45.9419,55,36,Skills,2
Greece,Purchasing or ordering goods or services,2014,19.8078,47,36,Skills,2
Greece,Internet banking,2014,13.1443,37,36,Skills,2
"Hong Kong, China",Purchasing or ordering goods or services,2014,20.6459,47,37,Skills,2
"Hong Kong, China",Internet banking,2014,23.0786,37,37,Skills,2
Hungary,Transferring files between a computer and other devices,2014,49.651,55,38,Skills,2
Hungary,Purchasing or ordering goods or services,2014,20.1557,47,38,Skills,2
Hungary,Internet banking,2014,30.5217,37,38,Skills,2
Ireland,Connecting and installing new devices,2014,36.6347,11,43,Skills,2
Ireland,Transferring files between a computer and other devices,2014,41.1984,55,43,Skills,2
Israel,Purchasing or ordering goods or services,2014,37.2845,47,44,Skills,2
Israel,Internet banking,2014,38.1945,37,44,Skills,2
Italy,Transferring files between a computer and other devices,2014,45.287,55,45,Skills,2
Italy,Purchasing or ordering goods or services,2014,13.6544,47,45,Skills,2
Italy,Internet banking,2014,23.4112,37,45,Skills,2
Jamaica,Purchasing or ordering goods or services,2014,4.56156,47,46,Skills,2
Jamaica,Internet banking,2014,4.75936,37,46,Skills,2
Japan,Purchasing or ordering goods or services,2014,34.5922,47,47,Skills,2
Japan,Internet banking,2014,7.97158,37,47,Skills,2
Korea (Rep. of),Doing an online course,2014,8.07321,20,50,Skills,2
Korea (Rep. of),Purchasing or ordering goods or services,2014,38.5741,47,50,Skills,2
Korea (Rep. of),Internet banking,2014,44.9496,37,50,Skills,2
Latvia,Transferring files between a computer and other devices,2014,49.5415,55,52,Skills,2
Latvia,Purchasing or ordering goods or services,2014,23.686,47,52,Skills,2
Latvia,Internet banking,2014,56.7634,37,52,Skills,2
Lithuania,Transferring files between a computer and other devices,2014,56.2427,55,54,Skills,2
Lithuania,Purchasing or ordering goods or services,2014,18.5059,47,54,Skills,2
Lithuania,Internet banking,2014,53.5678,37,54,Skills,2
Luxembourg,Transferring files between a computer and other devices,2014,70.7446,55,55,Skills,2
Luxembourg,Purchasing or ordering goods or services,2014,62.3916,47,55,Skills,2
Luxembourg,Internet banking,2014,66.508,37,55,Skills,2
"Macao, China",Doing an online course,2014,13.1928,20,56,Skills,2
"Macao, China",Purchasing or ordering goods or services,2014,9.65815,47,56,Skills,2
"Macao, China",Internet banking,2014,10.77,37,56,Skills,2
Malta,Transferring files between a computer and other devices,2014,46.5702,55,59,Skills,2
Malta,Purchasing or ordering goods or services,2014,41.2526,47,59,Skills,2
Malta,Internet banking,2014,44.4742,37,59,Skills,2
Mexico,Doing an online course,2014,16.2735,20,61,Skills,2
Mexico,Purchasing or ordering goods or services,2014,1.81679,47,61,Skills,2
Mexico,Internet banking,2014,0.649259,37,61,Skills,2
Morocco,Connecting and installing new devices,2014,22.8745,11,65,Skills,2
Morocco,"Finding, downloading, installing and configuring software",2014,19.8566,22,65,Skills,2
Morocco,Transferring files between a computer and other devices,2014,16.0327,55,65,Skills,2
Morocco,Doing an online course,2014,7.43748,20,65,Skills,2
Morocco,Purchasing or ordering goods or services,2014,3.69035,47,65,Skills,2
Morocco,Internet banking,2014,3.8039,37,65,Skills,2
Netherlands,Transferring files between a computer and other devices,2014,61.8056,55,66,Skills,2
Netherlands,Purchasing or ordering goods or services,2014,57.9109,47,66,Skills,2
Netherlands,Internet banking,2014,82.0807,37,66,Skills,2
North Macedonia,Internet banking,2014,8.51951,37,67,Skills,2
Norway,Transferring files between a computer and other devices,2014,75.197,55,68,Skills,2
Norway,Purchasing or ordering goods or services,2014,59.5193,47,68,Skills,2
Norway,Internet banking,2014,89.2332,37,68,Skills,2
Paraguay,Doing an online course,2014,4.56976,20,70,Skills,2
Paraguay,Purchasing or ordering goods or services,2014,0.246457,47,70,Skills,2
Peru,Doing an online course,2014,2.79654,20,71,Skills,2
Peru,Purchasing or ordering goods or services,2014,1.67791,47,71,Skills,2
Peru,Internet banking,2014,2.20055,37,71,Skills,2
Poland,Transferring files between a computer and other devices,2014,39.7087,55,72,Skills,2
Poland,Purchasing or ordering goods or services,2014,24.4726,47,72,Skills,2
Poland,Internet banking,2014,32.5875,37,72,Skills,2
Portugal,Transferring files between a computer and other devices,2014,49.9056,55,73,Skills,2
Portugal,Purchasing or ordering goods or services,2014,17.1217,47,73,Skills,2
Portugal,Internet banking,2014,25.2702,37,73,Skills,2
Romania,Transferring files between a computer and other devices,2014,19.1843,55,76,Skills,2
Romania,Purchasing or ordering goods or services,2014,5.8188,47,76,Skills,2
Romania,Internet banking,2014,4.1638,37,76,Skills,2
